Name,Province,ID,Lat,Lon,Elevation
WILCOX LAKE,ON,6159510,43.95,-79.43,289
TORONTO YORK MILLS,ON,615HHDF,43.75,-79.38,153
TORONTO BUTTONVILLE A,ON,615HMAK,43.87,-79.37,198
OAKVILLE SOUTHEAST WPCP,ON,615N745,43.48,-79.63,86
TORONTO NORTH YORK,ON,615S001,43.78,-79.47,187
HALIBURTON 3,ON,6163171,45.03,-78.53,330
LINDSAY FILTRATION PLANT,ON,6164432,44.35,-78.73,251
PETERBOROUGH A,ON,6166418,44.23,-78.37,191
PETERBOROUGH STP,ON,6166450,44.28,-78.32,192
PETERBOROUGH TRENT U,ON,6166456,44.35,-78.3,216
WEST GUILFORD,ON,6169453,45.1,-78.68,327
CHARLOTTETOWN A,PE,8300301,46.28,-63.12,48
SUMMERSIDE,PE,8300596,46.43,-63.83,12
HARRINGTON CDA CS,PE,830P001,46.33,-63.17,53
BEAUPORT,QC,7010565,46.83,-71.2,10
CHARLESBOURG PARC ORLEAN,QC,7011309,46.87,-71.27,114
DESCHAMBAULT,QC,7011982,46.67,-71.92,15
DUBERGER,QC,7012232,46.82,-71.3,15
DUCHESNAY,QC,7012240,46.87,-71.65,166
JOLIETTE VILLE,QC,7013362,46.02,-73.43,56
L'ASSOMPTION,QC,7014160,45.82,-73.43,21
OKA,QC,7015730,45.5,-74.07,91
QUEBEC,QC,7016280,46.8,-71.22,90
ST ALBAN,QC,7016800,46.72,-72.08,76
ST AUGUSTIN,QC,7016900,46.73,-71.5,57
STE BEATRIX,QC,7016902,46.2,-73.6,198
ST BENOIT,QC,7016906,45.57,-74.05,53
STE CATHERINE,QC,7016932,46.85,-71.62,152
ST DONAT,QC,7017100,46.32,-74.2,388
STE FOY MATAPEDIA,QC,7017B65,46.75,-71.28,45
STE FOY (PIE XII),QC,7017BFN,46.78,-71.32,79
SHAWINIGAN,QC,7018001,46.57,-72.73,110
COURVILLE DE POISSY,QC,701A9E0,46.88,-71.17,114
TROIS RIVIERES AQUEDUC,QC,701HE63,46.38,-72.62,54
QUEBEC JEAN LESAGE INTL,QC,701S001,46.8,-71.38,60
ARTHABASKA,QC,7020305,46.02,-71.95,140
ASBESTOS,QC,7020360,45.77,-71.95,228
BROME,QC,7020840,45.18,-72.57,205
CHARTIERVILLE,QC,7021320,45.28,-71.2,518
